Source,Target,Type,Id,Label,timeset,Weight
1420000,1895348,Undirected,546,,,2
1420000,3260830,Undirected,547,,,2
1420000,3880497,Undirected,548,,,2
1420000,4688027,Undirected,549,,,2
1420000,4830067,Undirected,550,,,2
1420000,5017376,Undirected,551,,,2
1420000,5025175,Undirected,552,,,2
1420000,5206504,Undirected,553,,,2
1420000,6285008,Undirected,554,,,2
1420000,7097127,Undirected,555,,,2
1420000,8091161,Undirected,556,,,2
1420000,8471820,Undirected,557,,,2
1420000,8675442,Undirected,558,,,2
1420000,8721509,Undirected,559,,,2
1420000,8910036,Undirected,560,,,2
1420000,10049592,Undirected,562,,,2
1420000,10755507,Undirected,563,,,2
1420000,11522638,Undirected,564,,,2
1420000,12146610,Undirected,565,,,2
1420000,12427925,Undirected,566,,,2
1420000,13662253,Undirected,567,,,2
1420000,14007280,Undirected,568,,,2
1420000,14231328,Undirected,569,,,2
1420000,14659482,Undirected,570,,,2
1420000,17436555,Undirected,571,,,2
1420000,17656022,Undirected,572,,,2
1420000,17695649,Undirected,573,,,2
1420000,20113344,Undirected,574,,,2
1420000,20562012,Undirected,575,,,2
1420000,20647409,Undirected,576,,,2
1420000,21404950,Undirected,577,,,2
1420000,26476793,Undirected,578,,,2
1420000,27342802,Undirected,579,,,2
1420000,27835117,Undirected,580,,,2
1420000,29037626,Undirected,581,,,2
1420000,36542434,Undirected,582,,,2
1420000,37774029,Undirected,583,,,2
1420000,42647958,Undirected,584,,,2
1420000,44314255,Undirected,585,,,2
1420000,48038134,Undirected,586,,,2
1420000,48200523,Undirected,587,,,2
1420000,51109331,Undirected,588,,,2
1420000,51415668,Undirected,589,,,2
1420000,52451558,Undirected,590,,,2
1420000,52655756,Undirected,591,,,2
1420000,58143146,Undirected,592,,,2
1420000,72218459,Undirected,593,,,2
1420000,83983023,Undirected,594,,,2
1420000,89844420,Undirected,595,,,2
1420000,93258630,Undirected,596,,,2
1420000,95179337,Undirected,597,,,2
1420000,97121399,Undirected,598,,,2
1420000,97958118,Undirected,599,,,2
1420000,112989594,Undirected,600,,,2
1420000,117257470,Undirected,601,,,2
1420000,145326743,Undirected,602,,,1
1420000,151866443,Undirected,603,,,2
1420000,156310993,Undirected,604,,,2
1420000,175913194,Undirected,605,,,2
1420000,183823715,Undirected,606,,,2
1420000,204533117,Undirected,607,,,2
1420000,244275655,Undirected,608,,,2
1420000,247411462,Undirected,609,,,2
1420000,251216993,Undirected,610,,,2
1420000,255684950,Undirected,611,,,2
1420000,258387065,Undirected,612,,,2
1420000,287487038,Undirected,614,,,2
1420000,335031647,Undirected,615,,,2
1420000,385495145,Undirected,616,,,2
1420000,390010074,Undirected,617,,,2
1420000,419004306,Undirected,618,,,2
1470984,1625422,Undirected,621,,,2
1470984,1880033,Undirected,622,,,2
1470984,2527409,Undirected,623,,,2
1470984,3404775,Undirected,624,,,2
1470984,5350587,Undirected,625,,,2
1470984,6567645,Undirected,626,,,2
1470984,6802388,Undirected,627,,,2
1470984,10342782,Undirected,628,,,2
1470984,10394239,Undirected,629,,,2
1470984,11905863,Undirected,630,,,1
1470984,12952420,Undirected,631,,,2
1470984,15160342,Undirected,632,,,2
1470984,36542434,Undirected,633,,,2
1470984,48200523,Undirected,634,,,2
1470984,54474365,Undirected,635,,,2
1470984,135187571,Undirected,636,,,2
1470984,164801996,Undirected,637,,,2
1470984,193859015,Undirected,639,,,2
1470984,255302701,Undirected,640,,,2
1470984,275233875,Undirected,641,,,2
1470984,281431933,Undirected,642,,,2
1625422,744513,Undirected,646,,,1
1625422,1629867,Undirected,649,,,2
1625422,1722649,Undirected,650,,,2
1625422,1867413,Undirected,651,,,2
1625422,1880033,Undirected,652,,,2
1625422,1937050,Undirected,653,,,2
1625422,2327658,Undirected,654,,,1
1625422,2362779,Undirected,655,,,2
1625422,2527409,Undirected,656,,,2
1625422,2722854,Undirected,657,,,2
1625422,3404775,Undirected,658,,,2
1625422,4748106,Undirected,659,,,2
1625422,6149559,Undirected,660,,,2
1625422,6567645,Undirected,661,,,2
1625422,6643828,Undirected,662,,,2
1625422,6802388,Undirected,663,,,2
1625422,10342782,Undirected,664,,,2
1625422,11517708,Undirected,665,,,2
1625422,12146610,Undirected,666,,,2
1625422,12952420,Undirected,667,,,2
1625422,15160342,Undirected,668,,,2
1625422,17428995,Undirected,669,,,2
1625422,18027657,Undirected,670,,,2
1625422,19086307,Undirected,671,,,2
1625422,20467416,Undirected,672,,,2
1625422,26437207,Undirected,673,,,2
1625422,30247392,Undirected,674,,,2
1625422,30825935,Undirected,675,,,2
1625422,37774029,Undirected,676,,,2
1625422,48200523,Undirected,677,,,2
1625422,54474365,Undirected,678,,,2
1625422,64564860,Undirected,679,,,2
1625422,81295831,Undirected,680,,,2
1625422,104374278,Undirected,681,,,2
1625422,128018796,Undirected,682,,,2
1625422,135187571,Undirected,683,,,2
1625422,164801996,Undirected,684,,,2
1625422,193859015,Undirected,685,,,2
1625422,275233875,Undirected,686,,,2
1625422,323549573,Undirected,687,,,2
1629867,744513,Undirected,691,,,1
1629867,1722649,Undirected,695,,,2
1629867,1729080,Undirected,696,,,2
1629867,1867413,Undirected,697,,,2
1629867,1937050,Undirected,698,,,2
1629867,2327658,Undirected,699,,,1
1629867,2362779,Undirected,700,,,2
1629867,2398574,Undirected,701,,,2
1629867,2527409,Undirected,702,,,2
1629867,2722854,Undirected,703,,,2
1629867,4748106,Undirected,704,,,2
1629867,4898557,Undirected,705,,,2
1629867,5188319,Undirected,706,,,2
1629867,5290904,Undirected,707,,,2
1629867,6643828,Undirected,708,,,2
1629867,6934201,Undirected,709,,,1
1629867,7041843,Undirected,710,,,1
1629867,7097127,Undirected,711,,,2
